Dim1,Dim2,Label,Sample
-3.5803301,-0.36041868,6," I am not really looking that far ahead, playing Michael.  Right now I'm concerned about playing Enq"
6.819964,-12.5836735,2,"Well, blocking against Jazz Sweet is pretty frustrating, I'm not going to lie but I think we did a p"
8.950855,0.13973635,5,"All of them. I feel great, ready to go. This is exactly what I needed to get through here and get a "
-4.424196,-3.9255593,5,"  Well, I guess to me, it just means that I played on some very good Teams, that's all.  Fortunate t"
22.794388,-4.9152617,7,"Obviously, there's measures in this contract that allow for the club to extend the payouts a few ext"
14.8085,0.20852683,1,"Of course. That's always going to help. And, again, like I said before, every Team here is looking f"
1.9173433,-23.184366,4,"I truly believe -- we had opportunities today. We've been doing really well, driving in runs with me"
7.6195416,4.206121,7, To early to get in any kind of sense for me.  I don't think I have that much of a feel for the tour
3.8401635,-11.610938,1,"No, we're not practicing that, but I have some knowledge about that. So we share the knowledge with "
17.516558,-1.4498715,6, I would say so.  Obviously depends on what we get tomorrow.  But I think these are the conditions y
-18.96997,-3.6601937,2," Well, the 15 majors, but obviously that would be something very, very special.  I think so, yeah.  "
-1.5695531,-3.788745,7,"Yeah, it's a good question. I'm not the hiring authority, so I don't know, but I think it's importan"
-12.757483,0.28535345,2, I dived because I had to get the point and there was a little bit of luck and I got it.
-7.4021273,20.881128,3,"I'm actually looking at him right now, he just walked in my office. We haven't talked yet. I'm going"
7.0553255,4.670912,2," Yeah, I would definitely say so.  The approaches are also difficult to play in this kind of windy c"
-0.023226282,14.3303795,2,  You don't get a chance to know each other too well.  The thing I know about him is he is a great l
0.22409709,10.0908785,2,"There was a lot of things that could happen with lap cars, him guessing wrong, me being able to run "
-11.737307,20.119955,2,"Marisnick? Jake is an impact defender, he's got some base running skills that we can utilize hitting"
-10.099551,-6.786358,7,"  It was fun.  It's nice having my brother on the bag, but it's cool.  This is the first time dad ha"
-4.484343,8.912423,3," Obviously, it didn't.  Usually I play pretty well when I have an injury, but normally I don't make "
2.9348943,7.796621,5,I think we obviously have to respond from last night.  It's always about what's in front of you.  Wh
-16.15999,11.889576,1,"  Yeah, you know, we realized what they were doing defensive-wise, so we had a much better offensive"
1.1298438,-8.998151,7,"Yeah, to be honest, we haven't talked all about it. I know he had a great run. I think we all respec"
-10.240916,16.07111,2,"No, for me, he just got -- he starts the game, he gets a little quick. But then he settled down for "
-14.850158,9.096734,2,  Probably on 16.  That was the longest putt that I holed today.  It was kind of across the green do
-14.07426,-14.733348,5," No.  Each one wants to do the best she can.  But we don't think ""I want to be better than my sister"
-0.7403542,-27.072279,5," Absolutely.  I'd like to see Michelle, although I didn't want her to win on Sunday because I wanted"
4.914073,-19.12422,4,Michigan State was a physical Team.  They dominated us in all three aspects of the game.  I thought 
6.0523562,0.9067551,6,"Well, we feel like we're -- two years ago now this next year we feel like coming into this next seas"
6.276966,12.764105,5,"I agree with everything they said. I couldn't have asked for a better senior year, and I'm just so t"
8.06802,-9.140646,2,"Yeah, absolutely, I got a couple to fix up about my mechanic, and I want to work this offseason abou"
18.567778,-3.9641817,7," Not many people would, but if someone starts to mention, hey, this and that the other, I say listen"
6.951212,-21.898745,2,"Yeah, that line's been great for us whenever they're together.  Robby came in, brought some speed, s"
-22.958036,5.0462103,2, Not particularly.  I think surface probably suits him a little more than it suits me.  Probably mor
-18.248985,-4.720825,5,"Obviously very proud to have followed Fernando Valenzuela, obviously something historic, and somethi"
1.3219131,7.542701,5,I don't know about it is remarkable.  I think it is a testament of what people can endure or perseve
-8.132121,15.272789,2,"Well, you're right, he was good in the No. 1 spot.  He was playing well, he likes to play fast, he w"
18.962227,4.1368103,5,"Enjoy it. Honestly, it's stuff you gotta go through. I got a lot of advice from friends of mine. Kev"
0.9693134,9.613639,5,"  Well, I don't know if that's true or what it is.  I think preparation and opportunity, those two t"
13.624425,7.310458,7,"  Definitely feel a certain level of disconnection.  When you're here, you very much feel like you'r"
14.469942,10.179215,2, Is this the best win that you have ever had against a big player or have you beaten another top pla
0.66304904,5.6344323,7,"  I tell you tomorrow.  It is nothing knew to me.  I mean, I have been playing singles, doubles, mix"
22.854818,7.2680373,2, I will ask Tiger the same question after being the lead now at 6-under.  Some thoughts on your roun
24.505901,1.9400114,2,"  You know, just being aggressive.  Taking the same shots that I took last game, and just having con"
-10.783741,9.578645,2," There was a serve.  It is difficult from the other side to judge a serve, but I felt it was out."
18.240969,-9.525286,7,"And one more thing to add, the humidors don't really address the issue of drag. The humidors will af"
10.53176,-16.58831,2,"  I think what everybody sees in them, they are very athletic.  They don't give up a lot of big play"
3.6432273,-4.967866,7, I am just going to let the Europeans do it because we are on deadline and if we want to go back to 
-4.3907056,17.801596,2,"No, I don't think so.  He's a good defender, and I mean, I only one scored goal, so he did his job, "
10.894002,25.588783,8,"It was pretty clear??̻<U+0080><U+0091>cut. The 21 hung a left, drove those guys down below the line"
-21.734531,-4.936314,5,"Well, it's obviously a different experience.  Something that I'll definitely remember.  Something  t"
21.1295,12.178103,5,"Melanie, thank you so much. I want to echo as well your dad, truly amazing and inspiring, Mike. Defi"
-13.459574,26.064709,2,"Again, an incredible look by Matt Moore.  He did the grit, and I just saw a shooting lane and I took"
12.729378,12.273455,4,Obviously we played a lot of world-class Teams in this tournament. But this performance would probab
-10.709207,-22.944326,2,They positioned themselves pretty well. But we hit some balls hard. Trea hit a couple balls hard tod
13.401495,-16.946815,4,  It feels pretty good.  It is always good to win a Grand Slam title even in mixed.  I think very sp
-6.2815256,-3.526687,7,My mom is someone that I talk to a lot and obviously she helped me out this morning. We had coffee. 
-5.831088,-8.032107,2,He's been vital to our run up to this point.  There's no question about that.  We are not here witho
19.437605,-15.208771,1,"Good afternoon, everyone. I have a couple of topics that I would like to cover and then obviously I "
-2.4368784,1.0286454,7,I am just very happy to be there.  It is just -- it is no time to be surprised or not to be surprise
-6.961633,16.306597,6," He's going to come out swinging, he's got a really nice backhand and he's been playing well all wee"
5.094551,20.21406,2,I will still working on the same thing because like the first two hole I keep thinking about the out
-26.152164,8.761768,2,"  I thought to myself, I said, I tried to get a pitch to hit and he made a good pitch.  That was a f"
-8.5233135,7.1960006,4,"  It was a good settler.  I felt like I started fine, a little bit more steady than yesterday, so to"
-12.171144,11.964267,5,  I'm doing the same thing.  I'm gassing him up.  I feel like I'm putting that battery in his back. 
11.326412,-5.5190845,5,I think that's an Individual thing. Players have to pick themselves up. Management or anyone can go 
-4.2279487,15.551763,7,"Let me just add to that, that when Lloyd says we have no idea, you could interpret that to mean that"
1.5103462,-10.297023,5,Obviously you can always shut the short.  So maybe give them something different.  Coach Conry was l
-1.407547,0.9420998,4," When I am out there, it feels like it would be nice to know that I am a serving a little bit better"
15.792859,6.653574,4," When you win a few matches, I beat good players, then you get more confidence and then you know tha"
-1.860303,-9.376919,8,"It's not what I want to be here talking about. And hopefully when AJ gets in here, he'll get back to"
-3.4696627,-6.929453,8,"To be honest with you, that probably helped distract me through the majority of the week. Just being"
-20.473097,8.652511,4,"Yeah, it's been a long year, up and down.  All worth it in the end.  Obviously a little bonus scorin"
-18.221687,-15.239832,2," Yeah, not really-- and after they broke us, she got very confident.  She started to psych up and go"
-2.9604487,19.504381,3,He felt something when he went to block that ball in his hip flexor. We don't know the severity of i
3.7664132,-18.792284,7,ORLANDO HERNANDEZ (Through Leo Astacio)   I have given thought to everyone on their Team.  Luis Gonz
-20.377867,-17.149963,4,"  Yeah, well, I knew that today playing in the morning, especially early, was going to be much more "
-0.28053963,3.9263682,6," First, to rest, then I will see what other tournaments I will be playing and if it is Australia or "
2.3012493,-2.4408326,1,"  Yeah, obviously that opportunity helps, but I'm just getting out there and seizing the opportunity"
5.79991,7.7227893,1,"  You know, that's a great question.  I think the biggest thing is for me just studying the game, re"
-8.249473,16.106894,7,"He was a very smart player, and now he can share the knowledge he has with the players that he's goi"
-25.316994,0.6594863,8,"  I've never managed to find a comfort zone on this golf course.  It amazes me, but I think that's a"
-10.1268215,-15.57396,4,"Congratulations to Wesleyan, and Coach Raba a tremendous game.  It was a battle for 60 minutes.  The"
9.147858,2.3392792,7," The Other Side of Midnight, and Memory -- Memories, something like that.  Two books of Sidney Sheld"
6.576372,16.508074,7,"Hi, everybody. I'm Jon Sciambi, and it is my pleasure to welcome you all to this year's announcement"
-5.7552476,19.46402,3,Andy is fully recovered and has started maybe some light hitting. He's on a regular schedule. He'll 
-7.7980633,-2.0853732,7,A lot of different and for the last days I played with some juniors because there is no more big pla
12.228017,-3.157502,4,"Yeah, I agree with what both of them said. I think this is a really great way for us to go out, and "
2.0822031,11.812838,2," I cannot think about that right now. Actually, my dream was to play one more good Grand Slam and re"
-13.202679,-4.7531147,1,It was really something that's been in the works for a little bit. I've sort of changed around my st
4.9643664,2.8995752,4,I feel great right now.  What a beautiful day to play golf.  Braved the last two holes to kind of ge
9.145939,-5.9508004,1,I try not to watch my competitors anyway.  I try not to watch what they do all that much anyway.
9.454808,7.550991,7,"Probably so.  Actually he makes all sizes.  I know that my waist is a 30, but in his clothes I'm a 3"
-12.055036,4.228736,7,"The field crew at University of Arizona, they were my best buds. Johnny O., he was the director, he "
8.178443,-19.646334,4,"First, just congratulations to Minnesota on a great season. They're a great Team. We saw them early "
1.1694674,-22.695995,6,Not really. We were just worrying about today. We knew that going in I guess there wasn't any reserv
22.78487,-6.1628785,4,You're obviously one of the leading players on the LET at the moment.  Does that put extra pressure 
11.430878,-7.517984,1,"Yeah, it's definitely uncharted territory. And I'm just trying to continue to do what I've tried to "
22.777452,-7.116878,8,"Yeah, because that's not coming from the players on the field. The players on the field, it's their "
-0.9826607,7.671672,2,"Gee, this is a Lisa Raymond -- Natasha Zvereva press conference. I don't know. Frankly, I don't know"
-21.899216,-11.847533,3,I had injured it the Friday just before the Monday at San Diego the tournament practicing.  I would 
-1.5679464,-6.8292766,7,"Well, right now, based on what the organization make the move, we hired -- they hired him, before I "
5.2786975,27.64206,8,"Yeah, I appreciate the question. I think a lot -- people have spoken on this. I've spoken on this, I"
20.346876,-15.80375,5,"The key for them is clearly Plummer. If she's good, then that creates space for everyone else. Every"
-5.7228255,-24.97763,7,We're excited to have with us a number of players who were named to the first and second Teams. Join
4.3685646,-1.3657922,7,"I think I will not miss cricket -- I mean, I'll be involved because I can't stay away from this. And"
5.428469,-10.1858635,1,"You know, I can't say we practice it a ton.  We talk about power play, that sort of thing.  Then def"
1.7027876,9.815362,4,"  I think I definitely left  -- I did yesterday, as well.  You know, one of my  -- one of my things "
-5.6948214,2.8802032,2,"  Yeah, so coming from KPMG I was extremely happy with my long game from tee to green, but the putts"
-21.013025,14.41073,4,"  Is that aggressive?  (Laughs.) No, I think I played pretty well.  I'm getting it in the fairway, a"
-17.924839,-5.034205,5,Very happy with the home run. Obviously today all my Teammates were saying today is your day. Today 
-18.096766,-8.14039,2," I think I was very tired -- I was tired because I have been all the week with diarrhea, because the"
-20.214233,-16.907602,4," Yeah, a big surprise.  I was really surprised about; especially Jennifer yesterday.  I knew she had"
15.603417,11.44899,7," When the rankings were first released, she was ranked third.  I think any time you have a prominent"
-13.339503,-18.9733,4,"I think it affected our Team.  You know, I think collectively a lot of things affected our Team.  I "
-20.64026,17.483067,1,We started on the back nine and I started off hitting a 5-iron in there probably 18 feet from the ho
-9.414431,14.959079,2," He was serving for the match at 5-1.  He was Love-all; he had hit a smash wide, real wide, and it w"
18.48955,-14.245883,1," You know, that's a hard question to answer simply because you haven't replaced it with another even"
-8.811547,2.9066894,4,"It was tough for him, first game back.  That's a big game.  Obviously they didn't get a whole lot of"
5.9354157,-25.102499,8,"Sure, I'm appreciative that the officials allowed it to be an aggressive game and they allowed big, "
13.377143,2.98224,7,"  Well, you know, I don't think I was consciously thinking about the game at that time, but you pick"
-2.266524,-4.8869834,7," We have world No. 1, Annika Sorenstam, the recent winner of the U.S. Women's Open and also the lady"
1.516486,23.129477,5,"  Well, start off with our Captain, Sue Bird, just leading us and it goes from the starting five all"
9.455268,-21.294243,7,  I'm sure she is.  They're both great.  Pat was a pod captain last year too so I got to know her pr
2.526736,6.6343303,8,I don't know that it's been a bit of a struggle and I think some of what's been identified as a stru
-12.308847,12.611441,8,"Yes, we missed him in the first half and any conversations I have with him on whether he's coming ba"
0.51736945,0.7213046,1,Today I went to the net a lot.  I felt very good.  There are going to be players where I am going to
3.6801348,10.233804,6,"  You know, weather is really good and golf course is really good condition right now, so everybody "
13.024177,-19.571142,7," I think size-wise, they compare to Nebraska close enough, their center is about the same size, the "
-12.572846,19.935068,7,"  Lopez?  Yeah, I've faced him plenty of times, yeah, when he was with the Indians and this year wit"
0.44008154,-13.769953,5,We have a really good Team. We have a lot of good things going. We have -- we're trying to build the
-0.8405738,-14.204273,7,"  Well, there's not uncertainty in my mind with LeBron James.  And [when] I took the job, we didn't "
-13.411882,-1.8833549,2," I think it's just work has been paying off and I did good last year, I just didn't have any wins.  "
-7.7351723,-2.0441296,1,There's no doubt there's been a lot more time going into data and watching games. And there's so muc
-17.920076,-12.389409,2," Yeah, sure, she was.  She was making some doublefaults or easy volley mistakes and -- I mean, she i"
1.2115545,-16.026234,4,"Look, we know we're a great fielding unit. We normally have one of those games somewhere along the l"
-15.379965,16.413311,2,"But Yadi can hit anywhere. Hit second for us, third, fourth, fifth. He can hit anywhere because Yadi"
-18.67805,-0.53569394,5,I'm living the dream. I know this is a big opportunity for me. It's a big year for me. And I'm going
3.3588884,21.01828,5,Feel really good.  I was just thinking like I don't want to discredit my round just because I played
2.33697,-18.237785,8,I thought we were disciplined. We weren't trying to do so much. I think when we've gone back and we 
-11.098401,-12.670398,6,"  I mean, it definitely is a high percentage if I have a few days.  But like I said, I'm making some"
5.376671,8.053445,2,Just I think my game just is finally coming together.  I'm really comfortable my swing.  My PXG equi
14.280582,4.710893,4,"Yeah, it definitely helps when you can get -- see their bullpen. This way you know in a long series "
-3.8107622,-7.3665566,4,"Yeah, I talked to him a little bit in Houston. A lot of guys who I've played with, we've gone throug"
-20.812822,16.293697,2,"I started on 1, so first hole I hit a sand wedge about a foot, got it in my range.  I hit a 9-iron a"
3.0927522,-13.338704,5,"No, we're trying to win today's game. I'll empty my own tank. There's certainly a couple of guys tha"
-11.148193,7.100302,1,I know what the boards feel like (laughter).  I was a little bit confused where he was.  It was six-
-12.419024,8.81693,7,"To talk about what Matt was saying and his lacrosse IQ, it was in the fall last year, it was freshme"
-4.528469,-20.63814,7,Every off-season we go through our baseball operations policies. Sign stealing was a big focus durin
-8.643602,17.903978,3,"Yeah, he's in the clubhouse now. He's going to get treatment. He's going to do everything he can to "
-16.568272,1.6386302,4," I have played Sampras at Wimbledon this year, and that was a big match for me.  I didn't play too b"
13.958265,-13.867934,7,It's amazing to see.  This is a hockey town.  They've been with us through the ups and downs.  They'
-23.31995,4.878514,8,I think you heard Erik say in the previous interview there would probably be even more wrecks. We ce
12.139312,-18.79975,5,I think everybody is excited about the game.  They have enjoyed their experience and they are going 
14.148261,0.036829818,8,I think you're always looking for pitching. I don't know that you ever have enough. I don't know. We
-11.190051,-3.5170128,5,"It's a little different than our old stadium, it's got some jagged edges around the outfield. It's g"
18.295536,1.4202569,7, You probably are not going to see us two doing a Stance Little League Clinic.  We are probably the 
14.512372,2.2532876,5,"Yeah, I mean, of course you want to win every game.  I think if you think you're going to sweep ever"
0.74759,13.66839,2,"It would be great for us, great for the Team, great for him.  He's locked in, laser like focus going"
-5.5440106,25.277794,7,"  Yes.  Definitely got a lot of congratulations from Mike Whan, for example.  He texted me right aft"
0.2576553,-10.81244,1,  So I been working more on like short game and bunker play and putting as well.  Putting obviously 
1.1890124,-12.2871685,7,I've been texting him. We've been trying to call and missing each other. He's been hunting in Ohio a
14.60015,19.249317,6," No, I actually got a wild card.  I received an invitation to play Doral as kind of a home player, I"
-15.798397,-23.154985,6,We had three-hour training camp practice yesterday (laughing).  It's just prep.  Normal prep in betw
10.591429,11.695996,7,  Have you ever played in a tournament and the location was so beautiful that you decided to come ba
11.327232,-0.5190993,5,"Maybe a chip. I think when you play some of the Teams we play in our division so much, it's probably"
-12.028612,9.977633,3, He was -- it was his back because I saw him in the locker room it was his back.  Which probably com
12.136402,9.36646,2," We have by far and away the No. 1 player from the Ladies European Tour, Gwladys Nocera.  You've won"
6.1616087,-17.08807,4,"  Yeah, again, we're our own worst enemy sometimes.  Our turnovers tonight really hurt us badly, unf"
17.958824,6.7695727,7,"  Well, you know, you're cooking for yourself, paying for your own school.  So you're not living hig"
10.855264,1.7420957,5,"It means a lot.  We're lucky to have them.  They've been here for us all year, before that, too.  Yo"
11.83767,25.622696,4,"  Yeah, I was just pushing.  I was hustling the car, driving as hard as I could, trying to enjoy mys"
-14.319839,4.3152575,4,"  One was sand wedge, and one was my fat baby, 60-degree lob-wedge.  Usually I use that one mostly a"
-19.66399,0.7614887,4," I thought that if I play my best I know that there is a possibility to win, so it wasn't a big surp"
10.591299,-16.149174,2,"  Those guys do a great job.  I don't think the height is a key thing.  I think, again, we've just g"
-10.560437,17.050352,7,The meetings will probably get longer because he won't get up and leave after he gets bored. Definit
20.65693,-8.490199,1,"So a part of our tactics are bowling according to stumps, stump to stump. That's the field we employ"
19.747334,20.320091,7," I've got a bunch of family in town, so I'll probably just be at home and entertain all of the famil"
-0.45930928,-23.50645,4, It was the same thing last week at Evian.  But I guess that's what we call experience and hopefully
-17.339722,-6.6030297,4," No, it was very tough today because it is true, somewhere I have to beat Masur because his ranking "
-4.0501347,4.1616745,7," I don't know.  I hope so, but I am not working with the French Federation, so I think my coach will"
12.921027,4.153381,5,"I think the biggest thing was we went out there, and we're trying to have so much fun. And you'll si"
-4.5985827,6.37793,7,"My opinion really doesn't matter, so I don't normally give it.  Say what I say, so I'm not going to "
3.94369,-14.7207365,5,"Again, I think it brought us together, kind of similar to this game, like we're in this, and when we"
-2.4706163,-2.0629597,4," It is not nice.  It is not nice.  It needs to be get better, everyone wants it to be better, but I "
3.0018425,21.14127,3," Well, I thought it was    to me, the holes played, the into the winds holes I did better on those I"
-12.337746,-19.46745,4,"No, today we made mistakes in fielding and dropped some catches. That's the difference between our T"
15.362169,-4.508165,2, I'm not too concerned.  I don't really look around the stadium to see who's watching or how many pe
4.6437883,3.3006551,2,  I'm in great shape.  I bounce back extremely well in between games.  I could play right now if we 
13.53496,5.4418488,5," Yeah. I mean, it helps a lot just to look to the side and see that you have people there who are wi"
-0.6203705,3.9566116,1," That means playing on the baseline and finishing the point with the winner, with the volley or some"
-9.015214,6.754786,4,"No, it was never like that.  Every week I felt like I could win because my practice was so good."
-20.133553,17.159489,4," Yes.  Birdie on 4, on 4 I hit a 3-wood off the tee and I hit a 6-iron in there about 12 feet just b"
-1.7636534,22.674105,2,"Well, I remember him hitting against me in Spring Training. And I would expect him to be looking for"
-6.101996,14.769456,7," Alicone (ph).  His birthday is today.  Yesterday he was joking, ""You're just waiting for a good rou"
11.736372,-0.25599605,5,"Yeah, I think it gives negative mojo to your Team if you think of how many goals you're down by.  In"
15.066801,10.363512,2,It's something that I have done. It's something -- it has to be the right time situationally when yo
16.550476,-6.9436116,1, No.  I just work on everything the same for three years now with my new coach.  So the same every d
-3.0566874,18.237106,2,I think just what I expect out of him.  I know he's a goal-scorer.  He scores lots of goals every ye
1.5212944,12.741642,4," Of course.  Yeah, to beat Becker in a Grand Slam that he won before, it is just great. Nothing comp"
3.8196542,-5.0108194,1," I don't think there will be an effect, because they have other players, as well.  So we can't just "
24.703323,2.3070526,5,"Yeah, it's just the game management, and you're expecting -- I'm not going to go all into it, but I "
-4.411089,2.2294405,4,"  Yeah, 100%.  I was not happy about that.  I was not happy.  But the bunkers are usually -- I like "
11.61558,-18.629345,5,"Yeah, you're going to see Teams doing some uncharacteristic things just because they know their seas"
-19.288345,-13.310349,2, I think she is a great player and she really puts a lot in the game on the court and off the court.
-13.154001,0.4925067,4," It was only two feet wide.  First point he served for it.  It is a huge point, and it just pissed m"
-16.384003,-14.6413,2," Well, it is best she has played for a while.  She has a tendency to do that against me. Bad luck."
-28.520876,-4.5195923,7,"For sure. I had a pretty good familiarity with the National League West, not just as the manager of "
-5.922774,-16.555302,2,"Yeah, we stopped the bleeding last night and then came out and played well again today. We want to j"
-9.800451,-1.025827,3," Yes, I did.  And they did some work on it.  They gave me some medication and so on and so on.  But "
21.750355,-11.965062,1,"We knew Ohio State was going to come out aggressive in that second half, just like they normally do."
-25.94671,0.21403244,2," The best way I can describe it is that this kind of golf suits my game.  Like for instance, at the "
2.7067413,-18.41286,4,"We can be better, period.  I thought we were good in front of them.  A couple of bad breakdowns we d"
-16.453728,2.3500679,7," Twice.  I played Tuesday, I was in the Pro Am, but before I got to here, I played Friday and Saturd"
1.4438243,-0.4236489,8,"So they've got to qualify now to make it.  Every now and then that's going to happen, but it seems t"
-24.343971,-0.36582124,7,  This golf course is beautiful.  I've never been in area so it's a really pleasant surprise.  It's 
8.615556,-5.204123,5,"No, we try not to worry about any of that.  We just try to go out there and do our jobs and play."
15.833659,-10.640495,7,"I think we've come a long way, as we have really over the course of decades.  I think the league is "
-24.774061,13.749712,7,It could be. I'm not a big room service guy. I like to go out and eat. Houston has got some pretty g
-1.4728423,18.055664,2," I think it is hardcourt.  I mean, even though he won his first Slam on the clay, I think hardcourt "
3.2003574,-16.986235,7,I can share that I've been a fan of both players for a long time. I can share that in Philadelphia w
-11.444673,-13.2357025,6,"  I mean, I'm doing everything what I can do.  It does feel better than when it happened.  But you k"
-1.7785442,-9.699466,8,"  No, I've always been a guy who kind of let his game do the talking.  But when guys get to talking,"
5.8353667,13.168875,8," We asked for a wildcard, three, four weeks ago, maybe.  I decided to play New Haven and Schenectady"
19.368835,1.5894747,4," You got off to a very fast start, two birdies in the first two holes, would you like to talk about "
12.639312,-22.660315,4, I kind of enjoyed it.  I didn't enjoy the fourth set.  Did not enjoy that at all.  I enjoyed the ma
16.213028,-10.783182,7,We have it on the outside of the case packs for our own uses that we know. That's part of the recomm
5.5198283,-4.8254523,4," Yeah, I think we start to play very nervous.  We didn't play so good today, but I think we have a g"
-0.12674169,-16.602638,5,"I echo everything. If we look too far ahead, we get lost. Even taking it one point at a time, we're "
-26.1543,8.739053,4,"Absolutely. That's what you call a perfect pitch right there, a pitcher's pitch. And I was able to l"
-28.497093,-4.4420204,2,"  Yeah, probably.  They have a deeper bench, there's no question and I think that gives them more of"
-2.4219575,2.2909417,8," I am not in her position.  I am in the other position.  I would probably continue, so, I don't know"
-0.7867248,-1.1791968,2,"  Yeah.  I mean, that's who I am.  I know it doesn't seem like that all the time, but that's how I w"
2.9688475,-10.346851,2,"We talked about it right after that. These guys all season long, offense comes and goes, you have sl"
2.468238,-8.785244,5,I don't know the Team sentiment. We haven't really discussed it all that much. We're worried about w
-0.1767817,-20.238026,4,"Yeah, I think both Teams were pretty consistent throughout the match. Like hue said, Florida is a go"
-9.587853,22.98272,7,Yes. He's been to many of the events that I've done in Puerto Rico. He helped support my academy in 
9.169511,19.913706,1,  A couple times.  She forced me into 3-wood a couple of times and it was a good move.  I wanted to 
-3.8612468,-15.775142,4,"Yeah, we were actually down 3 games to 1. We won the game in Chicago and then went to Cleveland and "
